Original;Split;Latitude;Longitude;Lat+Lon
60,780941,24,163139,1;24,163139,1;60,780941;24,163139;
60,647671,21,8022,2;21,8022,2;60,647671;21,8022;
64,63678,25,64143,3;25,64143,3;64,63678;25,64143;
61,846859,29,183229,4;29,183229,4;61,846859;29,183229;
61,981091,23,005289,5;23,005289,5;61,981091;23,005289;
62,527279,27,663,6;27,663,6;62,527279;27,663;
62,131729,27,83873,7;27,83873,7;62,131729;27,83873;
61,155762,22,72916,8;22,72916,8;61,155762;22,72916;
60,213348,24,94323,9;24,94323,9;60,213348;24,94323;
60,967361,25,46487,10;25,46487,10;60,967361;25,46487;
63,133839,27,78874,11;27,78874,11;63,133839;27,78874;
60,922321,27,543421,12;27,543421,12;60,922321;27,543421;
61,263611,21,7068,13;21,7068,13;61,263611;21,7068;
61,848949,22,930849,14;22,930849,14;61,848949;22,930849;
63,835339,23,166071,15;23,166071,15;63,835339;23,166071;
64,006371,23,5368,16;23,5368,16;64,006371;23,5368;
62,30867,30,122681,17;30,122681,17;62,30867;30,122681;
61,12561,21,613991,18;21,613991,18;61,12561;21,613991;
64,24617,23,875799,19;23,875799,19;64,24617;23,875799;
62,3125,30,12361,20;30,12361,20;62,3125;30,12361;
60,25148,25,13328,21;25,13328,21;60,25148;25,13328;
65,342407,25,36833,22;25,36833,22;65,342407;25,36833;
60,92844,26,08194,23;26,08194,23;60,92844;26,08194;
61,752529,27,146931,24;27,146931,24;61,752529;27,146931;
62,23222,25,734171,25;25,734171,25;62,23222;25,734171;
61,235989,24,4419,26;24,4419,26;61,235989;24,4419;
64,567383,24,39032,27;24,39032,27;64,567383;24,39032;
60,781849,26,82378,28;26,82378,28;60,781849;26,82378;
61,643719,27,091061,29;27,091061,29;61,643719;27,091061;
61,203339,21,726919,30;21,726919,30;61,203339;21,726919;
61,29623,22,15605,31;22,15605,31;61,29623;22,15605;
60,44614,24,511299,32;24,511299,32;60,44614;24,511299;
61,35936,23,09103,33;23,09103,33;61,35936;23,09103;
66,431541,25,48452,34;25,48452,34;66,431541;25,48452;
61,639999,27,07444,35;27,07444,35;61,639999;27,07444;
63,849178,23,19313,36;23,19313,36;63,849178;23,19313;
61,498051,23,90859,37;23,90859,37;61,498051;23,90859;
